,Babel El Mandeb,Strait Of Hormuz,Panama Canal,Suez Canal,Cape Of Good Hope,Strait Of Malacca
1970-01-01 00:00:00.000000118,17.0,48.0,13.0,23.0,6.0,11
1970-01-01 00:00:00.000000119,14.0,47.0,12.0,21.0,8.0,8
1970-01-01 00:00:00.000000120,19.0,61.0,15.0,17.0,20.0,13
1970-01-01 00:00:00.000000121,12.0,46.0,15.0,15.0,13.0,14
1970-01-01 00:00:00.000000122,18.0,46.0,9.0,17.0,5.0,19
1970-01-01 00:00:00.000000123,12.0,43.0,13.0,16.0,8.0,11
1970-01-01 00:00:00.000000124,26.0,51.0,13.0,17.0,21.0,15
1970-01-01 00:00:00.000000125,20.0,48.0,16.0,11.0,9.0,18
1970-01-01 00:00:00.000000126,16.0,53.0,15.0,16.0,9.0,14
1970-01-01 00:00:00.000000127,17.0,53.0,13.0,12.0,20.0,13
1970-01-01 00:00:00.000000128,12.0,50.0,14.0,11.0,13.0,19
1970-01-01 00:00:00.000000129,15.0,63.0,9.0,18.0,4.0,13
1970-01-01 00:00:00.000000130,17.0,60.0,21.0,23.0,7.0,15
1970-01-01 00:00:00.000000131,17.0,52.0,16.0,11.0,17.0,14
1970-01-01 00:00:00.000000132,17.0,47.0,15.0,14.0,9.0,14
1970-01-01 00:00:00.000000133,14.0,63.0,13.0,19.0,11.0,8
1970-01-01 00:00:00.000000134,18.0,62.0,9.0,17.0,9.0,19
1970-01-01 00:00:00.000000135,22.0,43.0,10.0,21.0,14.0,12
1970-01-01 00:00:00.000000136,11.0,48.0,13.0,14.0,10.0,13
1970-01-01 00:00:00.000000137,27.0,48.0,9.0,7.0,11.0,26
1970-01-01 00:00:00.000000138,18.0,57.0,9.0,21.0,11.0,17
1970-01-01 00:00:00.000000139,11.0,50.0,12.0,16.0,10.0,17
1970-01-01 00:00:00.000000140,24.0,48.0,20.0,22.0,12.0,8
1970-01-01 00:00:00.000000141,21.0,57.0,9.0,17.0,12.0,26
1970-01-01 00:00:00.000000142,14.0,46.0,11.0,19.0,14.0,13
1970-01-01 00:00:00.000000143,20.0,63.0,14.0,16.0,9.0,15
1970-01-01 00:00:00.000000144,14.0,46.0,17.0,11.0,9.0,19
1970-01-01 00:00:00.000000145,17.0,65.0,11.0,16.0,13.0,16
1970-01-01 00:00:00.000000146,17.0,65.0,15.0,16.0,10.0,13
1970-01-01 00:00:00.000000147,18.0,51.0,13.0,16.0,10.0,11
1970-01-01 00:00:00.000000148,11.0,46.0,8.0,13.0,13.0,17
1970-01-01 00:00:00.000000149,15.0,62.0,18.0,26.0,15.0,10
1970-01-01 00:00:00.000000150,18.0,58.0,14.0,11.0,5.0,18
1970-01-01 00:00:00.000000151,12.0,52.0,13.0,14.0,13.0,10
1970-01-01 00:00:00.000000152,22.0,57.0,13.0,23.0,21.0,23
1970-01-01 00:00:00.000000153,20.0,47.0,16.0,7.0,19.0,14
1970-01-01 00:00:00.000000154,20.0,60.0,17.0,16.0,16.0,13
1970-01-01 00:00:00.000000155,16.0,50.0,9.0,20.0,7.0,18
1970-01-01 00:00:00.000000156,13.0,47.0,18.0,16.0,11.0,16
1970-01-01 00:00:00.000000157,12.0,49.0,16.0,20.0,9.0,10
1970-01-01 00:00:00.000000158,17.0,53.0,17.0,13.0,13.0,21
1970-01-01 00:00:00.000000159,18.0,61.0,8.0,20.0,13.0,16
1970-01-01 00:00:00.000000160,13.0,71.0,15.0,17.0,8.0,19
1970-01-01 00:00:00.000000161,18.0,64.0,11.0,19.0,12.0,13
1970-01-01 00:00:00.000000162,17.0,55.0,15.0,8.0,16.0,15
1970-01-01 00:00:00.000000163,16.0,55.0,12.0,25.0,20.0,10
1970-01-01 00:00:00.000000164,15.0,70.0,14.0,17.0,15.0,19
1970-01-01 00:00:00.000000165,18.0,52.0,8.0,11.0,17.0,13
1970-01-01 00:00:00.000000166,19.0,50.0,14.0,24.0,12.0,15
1970-01-01 00:00:00.000000167,13.0,64.0,8.0,10.0,6.0,13
1970-01-01 00:00:00.000000168,13.0,66.0,16.0,11.0,10.0,15
1970-01-01 00:00:00.000000169,22.0,72.0,13.0,8.0,12.0,12
1970-01-01 00:00:00.000000170,16.0,67.0,14.0,14.0,8.0,22
1970-01-01 00:00:00.000000171,17.0,46.0,14.0,13.0,12.0,22
1970-01-01 00:00:00.000000172,20.0,56.0,10.0,18.0,10.0,20
1970-01-01 00:00:00.000000173,14.0,61.0,18.0,10.0,13.0,16
1970-01-01 00:00:00.000000174,15.0,54.0,13.0,15.0,5.0,15
1970-01-01 00:00:00.000000175,24.0,53.0,14.0,19.0,16.0,13
1970-01-01 00:00:00.000000176,17.0,51.0,15.0,15.0,10.0,19
1970-01-01 00:00:00.000000177,21.0,52.0,13.0,13.0,12.0,18
1970-01-01 00:00:00.000000178,11.0,44.0,11.0,18.0,5.0,16
1970-01-01 00:00:00.000000179,11.0,47.0,16.0,13.0,17.0,15
1970-01-01 00:00:00.000000180,13.0,45.0,10.0,15.0,13.0,18
1970-01-01 00:00:00.000000181,17.0,63.0,10.0,14.0,14.0,11
1970-01-01 00:00:00.000000182,18.0,47.0,16.0,14.0,13.0,13
1970-01-01 00:00:00.000000183,14.0,64.0,13.0,9.0,11.0,12
1970-01-01 00:00:00.000000184,17.0,47.0,15.0,19.0,15.0,17
1970-01-01 00:00:00.000000185,15.0,50.0,9.0,12.0,17.0,19
1970-01-01 00:00:00.000000186,18.0,48.0,14.0,12.0,13.0,15
1970-01-01 00:00:00.000000187,16.0,52.0,13.0,25.0,14.0,21
1970-01-01 00:00:00.000000188,10.0,50.0,14.0,16.0,7.0,18
1970-01-01 00:00:00.000000189,16.0,50.0,14.0,17.0,13.0,11
1970-01-01 00:00:00.000000190,19.0,51.0,15.0,8.0,11.0,12
1970-01-01 00:00:00.000000191,14.0,57.0,17.0,25.0,12.0,21
1970-01-01 00:00:00.000000192,25.0,65.0,11.0,13.0,12.0,23
1970-01-01 00:00:00.000000193,22.0,52.0,11.0,16.0,13.0,11
1970-01-01 00:00:00.000000194,21.0,54.0,11.0,18.0,6.0,15
1970-01-01 00:00:00.000000195,21.0,54.0,15.0,17.0,13.0,7
1970-01-01 00:00:00.000000196,13.0,38.0,10.0,14.0,8.0,19
1970-01-01 00:00:00.000000197,12.0,57.0,16.0,12.0,9.0,17
1970-01-01 00:00:00.000000198,15.0,48.0,11.0,17.0,16.0,17
1970-01-01 00:00:00.000000199,17.0,48.0,11.0,10.0,12.0,14
1970-01-01 00:00:00.000000200,13.0,51.0,15.0,15.0,12.0,18
1970-01-01 00:00:00.000000201,14.0,45.0,13.0,17.0,11.0,13
1970-01-01 00:00:00.000000202,14.0,54.0,13.0,5.0,10.0,19
1970-01-01 00:00:00.000000203,16.0,57.0,16.0,16.0,10.0,24
1970-01-01 00:00:00.000000204,17.0,43.0,18.0,16.0,12.0,13
1970-01-01 00:00:00.000000205,11.0,50.0,12.0,19.0,11.0,16
1970-01-01 00:00:00.000000206,14.0,59.0,8.0,9.0,15.0,22
1970-01-01 00:00:00.000000207,13.0,54.0,15.0,14.0,12.0,15
1970-01-01 00:00:00.000000208,26.0,51.0,9.0,19.0,9.0,19
1970-01-01 00:00:00.000000209,17.0,60.0,14.0,20.0,17.0,11
1970-01-01 00:00:00.000000210,12.0,60.0,9.0,14.0,9.0,11
1970-01-01 00:00:00.000000211,17.0,63.0,9.0,10.0,13.0,25
1970-01-01 00:00:00.000000212,17.0,48.0,12.0,26.0,10.0,22
1970-01-01 00:00:00.000000213,19.0,51.0,11.0,18.0,18.0,13
1970-01-01 00:00:00.000000214,19.0,58.0,11.0,16.0,12.0,21
1970-01-01 00:00:00.000000215,10.0,43.0,13.0,13.0,14.0,16
1970-01-01 00:00:00.000000216,16.0,47.0,9.0,11.0,16.0,24
1970-01-01 00:00:00.000000217,19.0,48.0,16.0,18.0,6.0,16
1970-01-01 00:00:00.000000218,15.0,61.0,12.0,20.0,9.0,8
1970-01-01 00:00:00.000000219,22.0,56.0,12.0,19.0,17.0,21
1970-01-01 00:00:00.000000220,16.0,49.0,11.0,16.0,13.0,14
1970-01-01 00:00:00.000000221,13.0,43.0,22.0,18.0,12.0,18
1970-01-01 00:00:00.000000222,13.0,54.0,12.0,18.0,16.0,12
1970-01-01 00:00:00.000000223,15.0,54.0,16.0,17.0,18.0,22
1970-01-01 00:00:00.000000224,17.0,52.0,21.0,16.0,9.0,16
1970-01-01 00:00:00.000000225,17.0,51.0,12.0,15.0,13.0,18
1970-01-01 00:00:00.000000226,17.0,45.0,15.0,12.0,11.0,15
1970-01-01 00:00:00.000000227,12.0,51.0,10.0,19.0,13.0,18
1970-01-01 00:00:00.000000228,15.0,45.0,14.0,12.0,13.0,26
1970-01-01 00:00:00.000000229,13.0,48.0,8.0,10.0,10.0,13
1970-01-01 00:00:00.000000230,13.0,59.0,17.0,12.0,6.0,18
1970-01-01 00:00:00.000000231,23.0,60.0,11.0,11.0,14.0,18
1970-01-01 00:00:00.000000232,21.0,57.0,12.0,18.0,14.0,19
1970-01-01 00:00:00.000000233,18.0,58.0,14.0,17.0,15.0,8
1970-01-01 00:00:00.000000234,21.0,40.0,9.0,16.0,10.0,16
1970-01-01 00:00:00.000000235,15.0,48.0,17.0,15.0,11.0,9
1970-01-01 00:00:00.000000236,16.0,50.0,15.0,20.0,8.0,14
1970-01-01 00:00:00.000000237,16.0,60.0,18.0,18.0,17.0,17
1970-01-01 00:00:00.000000238,13.0,48.0,16.0,19.0,12.0,20
1970-01-01 00:00:00.000000239,11.0,46.0,11.0,17.0,11.0,17
1970-01-01 00:00:00.000000240,13.0,47.0,15.0,12.0,20.0,13
1970-01-01 00:00:00.000000241,21.0,54.0,10.0,13.0,12.0,17
1970-01-01 00:00:00.000000242,20.0,37.0,15.0,16.0,6.0,18
1970-01-01 00:00:00.000000243,15.0,57.0,18.0,18.0,13.0,13
1970-01-01 00:00:00.000000244,25.0,57.0,14.0,12.0,9.0,20
1970-01-01 00:00:00.000000245,20.0,46.0,17.0,19.0,4.0,22
1970-01-01 00:00:00.000000246,19.0,44.0,16.0,16.0,6.0,12
1970-01-01 00:00:00.000000247,12.0,50.0,14.0,11.0,10.0,7
1970-01-01 00:00:00.000000248,16.0,48.0,8.0,23.0,19.0,24
1970-01-01 00:00:00.000000249,14.0,60.0,15.0,17.0,12.0,16
1970-01-01 00:00:00.000000250,20.0,58.0,14.0,13.0,10.0,13
1970-01-01 00:00:00.000000251,12.0,56.0,12.0,23.0,13.0,23
1970-01-01 00:00:00.000000252,16.0,56.0,13.0,20.0,14.0,19
1970-01-01 00:00:00.000000253,16.0,47.0,17.0,12.0,12.0,12
1970-01-01 00:00:00.000000254,15.0,61.0,18.0,20.0,11.0,20
1970-01-01 00:00:00.000000255,20.0,44.0,11.0,14.0,12.0,14
1970-01-01 00:00:00.000000256,11.0,51.0,17.0,14.0,10.0,14
1970-01-01 00:00:00.000000257,22.0,51.0,7.0,15.0,12.0,15
1970-01-01 00:00:00.000000258,23.0,54.0,14.0,13.0,15.0,13
1970-01-01 00:00:00.000000259,10.0,44.0,18.0,15.0,8.0,15
1970-01-01 00:00:00.000000260,17.0,46.0,12.0,16.0,7.0,16
1970-01-01 00:00:00.000000261,19.0,49.0,11.0,16.0,8.0,16
1970-01-01 00:00:00.000000262,21.0,49.0,15.0,16.0,16.0,16
1970-01-01 00:00:00.000000263,16.0,53.0,13.0,13.0,15.0,13
1970-01-01 00:00:00.000000264,18.0,52.0,14.0,13.0,16.0,13
1970-01-01 00:00:00.000000265,19.0,40.0,11.0,20.0,7.0,21
1970-01-01 00:00:00.000000266,16.0,51.0,15.0,16.0,18.0,17
1970-01-01 00:00:00.000000267,20.0,47.0,10.0,14.0,9.0,14
1970-01-01 00:00:00.000000268,15.0,62.0,9.0,22.0,12.0,23
1970-01-01 00:00:00.000000269,14.0,43.0,7.0,13.0,12.0,13
1970-01-01 00:00:00.000000270,17.0,67.0,13.0,16.0,5.0,16
1970-01-01 00:00:00.000000271,16.0,44.0,8.0,18.0,10.0,17
1970-01-01 00:00:00.000000272,12.0,45.0,13.0,19.0,13.0,20
1970-01-01 00:00:00.000000273,21.0,47.0,15.0,13.0,10.0,13
1970-01-01 00:00:00.000000274,16.0,49.0,17.0,15.0,15.0,15
1970-01-01 00:00:00.000000275,21.0,53.0,17.0,14.0,9.0,14
1970-01-01 00:00:00.000000276,21.0,53.0,17.0,17.0,12.0,17
1970-01-01 00:00:00.000000277,14.0,49.0,19.0,15.0,12.0,15
1970-01-01 00:00:00.000000278,24.0,49.0,14.0,20.0,12.0,21
1970-01-01 00:00:00.000000279,15.0,56.0,16.0,14.0,14.0,14
1970-01-01 00:00:00.000000280,17.0,55.0,20.0,23.0,11.0,22
1970-01-01 00:00:00.000000281,19.0,48.0,13.0,18.0,3.0,18
1970-01-01 00:00:00.000000282,14.0,52.0,16.0,17.0,13.0,17
1970-01-01 00:00:00.000000283,14.0,51.0,17.0,22.0,6.0,22
1970-01-01 00:00:00.000000284,18.0,62.0,14.0,13.0,11.0,13
1970-01-01 00:00:00.000000285,10.0,48.0,7.0,14.0,6.0,14
1970-01-01 00:00:00.000000286,20.0,53.0,9.0,18.0,14.0,18
1970-01-01 00:00:00.000000287,15.0,60.0,21.0,13.0,14.0,12
1970-01-01 00:00:00.000000288,22.0,65.0,9.0,15.0,13.0,15
1970-01-01 00:00:00.000000289,18.0,61.0,20.0,22.0,16.0,22
1970-01-01 00:00:00.000000290,23.0,42.0,14.0,18.0,12.0,18
1970-01-01 00:00:00.000000291,21.0,49.0,16.0,24.0,18.0,24
1970-01-01 00:00:00.000000292,18.0,74.0,16.0,15.0,9.0,15
1970-01-01 00:00:00.000000293,22.0,49.0,14.0,21.0,8.0,21
1970-01-01 00:00:00.000000294,19.0,42.0,15.0,24.0,7.0,25
1970-01-01 00:00:00.000000295,21.0,59.0,18.0,18.0,3.0,18
1970-01-01 00:00:00.000000296,18.0,55.0,10.0,17.0,12.0,17
1970-01-01 00:00:00.000000297,14.0,46.0,14.0,18.0,13.0,17
1970-01-01 00:00:00.000000298,27.0,49.0,14.0,20.0,18.0,20
1970-01-01 00:00:00.000000299,12.0,52.0,13.0,14.0,9.0,13
1970-01-01 00:00:00.000000300,15.0,45.0,16.0,23.0,13.0,16
1970-01-01 00:00:00.000000301,20.0,51.0,11.0,19.0,13.0,10
1970-01-01 00:00:00.000000302,17.0,58.0,16.0,15.0,11.0,13
1970-01-01 00:00:00.000000303,24.0,65.0,19.0,20.0,15.0,17
1970-01-01 00:00:00.000000304,15.0,50.0,10.0,19.0,9.0,13
1970-01-01 00:00:00.000000305,14.0,45.0,15.0,19.0,5.0,14
1970-01-01 00:00:00.000000306,17.0,45.0,17.0,20.0,19.0,14
1970-01-01 00:00:00.000000307,24.0,60.0,15.0,18.0,11.0,21
1970-01-01 00:00:00.000000308,20.0,56.0,19.0,15.0,12.0,13
1970-01-01 00:00:00.000000309,18.0,48.0,17.0,14.0,11.0,9
1970-01-01 00:00:00.000000310,19.0,50.0,18.0,18.0,16.0,14
1970-01-01 00:00:00.000000311,12.0,52.0,10.0,10.0,4.0,21
