Date,Close,High,Low,Open,Volume,Return
2016-01-05,11741.5,11812.0,11689.900390625,11803.25,11091000,0.0006647352972777298
2016-01-06,11673.7998046875,11786.4501953125,11650.4501953125,11753.650390625,15871000,-0.005765889819230985
2016-01-07,11451.650390625,11622.599609375,11431.349609375,11585.5,10150000,-0.019029743338008775
2016-01-08,11486.599609375,11629.7998046875,11461.2998046875,11523.0,10042000,0.0030518936186361145
2016-01-11,11301.0,11430.75,11280.9501953125,11420.599609375,12359000,-0.016157924510881272
2016-01-12,11341.599609375,11385.400390625,11311.2001953125,11311.2001953125,10101000,0.003592567859038942
2016-01-13,11321.400390625,11471.849609375,11121.599609375,11420.0,12122000,-0.00178098499732815
2016-01-14,11369.400390625,11390.349609375,11182.599609375,11217.599609375,10928000,0.004239758187489562
2016-01-15,11259.75,11436.650390625,11234.2998046875,11430.0,8659000,-0.009644342432993724
2016-01-18,11095.9501953125,11309.5,11051.9501953125,11246.9501953125,12029000,-0.014547374913963407
2016-01-19,11225.2001953125,11263.7998046875,11095.2001953125,11124.150390625,8205000,0.011648394028895392
2016-01-20,11133.650390625,11213.099609375,11007.599609375,11120.7001953125,11181000,-0.008155739148931196
2016-01-21,10876.599609375,11243.9501953125,10825.5,11241.0,13168000,-0.023087736028288397
2016-01-22,11141.2998046875,11183.25,10928.2001953125,10963.349609375,8013000,0.024336668151721197
2016-01-25,11239.400390625,11349.7998046875,11212.400390625,11244.7001953125,7878000,0.00880512935270139
2016-01-27,11348.7998046875,11364.400390625,11276.25,11319.150390625,9420000,0.009733563202691142
2016-01-28,11440.7001953125,11477.099609375,11313.349609375,11313.349609375,12406000,0.008097807011014702
2016-01-29,11755.849609375,11809.7001953125,11472.2998046875,11489.9501953125,13260000,0.027546339706692402
2016-02-01,11742.75,11856.599609375,11715.5498046875,11837.25,12558000,-0.0011143056274345309
2016-02-02,11425.75,11811.0,11398.75,11793.7001953125,16027000,-0.02699538012816416
2016-02-03,11343.900390625,11487.9501953125,11318.849609375,11399.2001953125,9342000,-0.007163609336367394
2016-02-04,11215.5,11465.650390625,11065.150390625,11424.0,12436000,-0.011318892638647826
2016-02-05,11652.400390625,11686.400390625,11145.900390625,11250.2001953125,16222000,0.038955052438589544
2016-02-08,11498.7998046875,11657.099609375,11470.400390625,11657.099609375,9129000,-0.013181883628121782
2016-02-09,11557.0,11604.25,11401.400390625,11401.400390625,12094000,0.005061414782504103
2016-02-10,11352.75,11477.2001953125,11266.099609375,11477.2001953125,21267000,-0.01767327161027954
2016-02-11,11100.099609375,11381.2998046875,11074.349609375,11304.0498046875,18521000,-0.022254554237959967
2016-02-12,11081.0498046875,11283.349609375,10810.150390625,11226.7001953125,20714000,-0.0017161832197803983
2016-02-15,11191.7001953125,11331.25,11152.349609375,11198.349609375,12197000,0.009985551240658808
2016-02-16,10936.349609375,11250.0,10917.900390625,11207.849609375,10381000,-0.022816067396484563
2016-02-17,11148.099609375,11179.0,10875.7001953125,10983.150390625,10838000,0.019362036471336053
2016-02-18,11371.349609375,11446.7998046875,11252.4501953125,11315.75,10766000,0.020025834700315936
2016-02-19,11341.650390625,11381.0,11250.5498046875,11367.900390625,8246000,-0.0026117584781242265
2016-02-22,11487.7001953125,11515.150390625,11378.900390625,11412.349609375,8233000,0.01287729736478438
2016-02-23,11351.2998046875,11570.0498046875,11320.7998046875,11539.75,8739000,-0.011873602923643256
2016-02-24,11130.2001953125,11326.25,11098.400390625,11320.400390625,10364000,-0.01947791118015374
2016-02-25,11177.099609375,11215.400390625,11114.0,11150.099609375,16609000,0.004213708041141295
2016-02-26,11164.25,11317.349609375,11144.5,11283.0498046875,11339000,-0.0011496371889020418
2016-02-29,11167.7001953125,11320.599609375,10900.400390625,11234.5,18031000,0.00030903959625594446
2016-03-01,11294.400390625,11331.599609375,11106.349609375,11224.75,11803000,0.011345236091284017
2016-03-02,11278.4501953125,11447.900390625,11262.599609375,11402.400390625,14337000,-0.001412221522245627
2016-03-03,11502.2998046875,11516.849609375,11348.2998046875,11379.5,12624000,0.01984755046114728
2016-03-04,11537.650390625,11602.9501953125,11460.599609375,11555.150390625,10101000,0.003073349376886636
2016-03-08,11570.349609375,11706.7998046875,11496.0,11558.25,9180000,0.002834131529637185
2016-03-09,11601.0,11614.2001953125,11416.5498046875,11580.349609375,12823000,0.002649046196509408
2016-03-10,11623.0,11641.400390625,11529.650390625,11640.25,10362000,0.0018963882423927991
2016-03-11,11695.599609375,11710.75,11517.2998046875,11587.849609375,10296000,0.00624620230362205
2016-03-14,11719.2001953125,11781.400390625,11685.5,11716.349609375,10057000,0.0020179030341105353
2016-03-15,11325.599609375,11656.2998046875,11304.7998046875,11656.2998046875,13842000,-0.033585959739380056
2016-03-16,11381.75,11407.349609375,11148.2998046875,11331.849609375,11009000,0.004957829391966095
2016-03-17,11227.400390625,11454.75,11184.7001953125,11451.7001953125,12169000,-0.013561149153249685
2016-03-18,11092.25,11213.599609375,10922.150390625,11211.7998046875,23881000,-0.012037549737502151
