date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2020/09/28 00:00:00+00,2020,9,28,chokepoint1,Suez Canal,14,9,1,2,15,26,41,1554634.88947199,492936.040678822,5477.81814872376,27873.3033083343,1018812.62268453,2080922.05160787,3099734.6742924,517
2020/09/29 00:00:00+00,2020,9,29,chokepoint1,Suez Canal,12,20,3,1,19,36,55,1024295.64094373,941879.417049676,28175.0264318754,19844.3259680495,968451.53172507,2014194.41039333,2982645.9421184,518
2020/09/30 00:00:00+00,2020,9,30,chokepoint1,Suez Canal,18,12,3,5,9,38,47,1934505.66779304,935191.771683065,13437.14192795,83713.8738438227,638755.455845905,2966848.45524788,3605603.91109379,519
2020/10/01 00:00:00+00,2020,10,1,chokepoint1,Suez Canal,21,17,6,1,12,45,57,1916492.21738106,862910.438826626,63603.319470759,16986.048766469,228041.381535537,2859992.02444491,3088033.40598045,520
2020/10/02 00:00:00+00,2020,10,2,chokepoint1,Suez Canal,16,15,5,3,9,39,48,1472497.83318415,654570.39435311,54354.2709952281,37554.2190630235,484378.325865772,2218976.71759551,2703355.04346128,521
2020/10/03 00:00:00+00,2020,10,3,chokepoint1,Suez Canal,20,10,4,5,14,39,53,2394228.96233539,508995.414949655,9885.37444445776,78657.1576736861,723768.303611263,2991766.90940319,3715535.21301445,522
2020/10/04 00:00:00+00,2020,10,4,chokepoint1,Suez Canal,13,21,11,1,19,46,65,874417.924257521,977179.766786998,83695.6088370973,18365.5200536989,973137.469078715,1953658.81993532,2926796.28901403,523
2020/10/05 00:00:00+00,2020,10,5,chokepoint1,Suez Canal,21,17,5,1,13,44,57,2032847.32651898,1073897.71056623,84016.4835660173,14970.6448237756,412285.091991229,3205732.165475,3618017.25746623,524
2020/10/06 00:00:00+00,2020,10,6,chokepoint1,Suez Canal,13,16,6,2,20,37,57,1284605.02333821,1078807.62434236,56629.5883417615,47152.6031859752,1294794.85684733,2467194.8392083,3761989.69605564,525
2020/10/07 00:00:00+00,2020,10,7,chokepoint1,Suez Canal,18,11,4,5,17,38,55,1930630.58832261,625897.438958401,21119.7823929859,90687.3753587181,982076.481455166,2668335.18503271,3650411.66648788,526
2020/10/08 00:00:00+00,2020,10,8,chokepoint1,Suez Canal,13,21,8,3,11,45,56,1161400.48118126,963758.527734159,52644.81176786,49110.6532403404,742241.809737039,2226914.47392362,2969156.28366065,527
2020/10/09 00:00:00+00,2020,10,9,chokepoint1,Suez Canal,23,8,4,1,10,36,46,2772920.39021798,424023.728572636,21794.9824048575,16681.697076871,403592.332930628,3235420.79827234,3639013.13120297,528
2020/10/10 00:00:00+00,2020,10,10,chokepoint1,Suez Canal,9,21,3,3,16,36,52,846603.718922103,711743.64926488,47506.6847824183,54025.8273730533,761841.316933151,1659879.88034246,2421721.19727561,529
2020/10/11 00:00:00+00,2020,10,11,chokepoint1,Suez Canal,20,12,7,3,16,42,58,1998793.25609155,791536.000062596,71309.9703926345,51687.6736344208,855789.194504223,2913326.9001812,3769116.09468543,530
2020/05/19 00:00:00+00,2020,5,19,chokepoint1,Suez Canal,20,5,4,0,19,29,48,2308696.32370311,286922.379502655,21673.0418696442,0,1007793.79253829,2617291.74507541,3625085.5376137,531
2020/05/20 00:00:00+00,2020,5,20,chokepoint1,Suez Canal,14,15,4,0,10,33,43,1238229.27935662,853412.893217213,16836.4477148037,0,458849.237047548,2108478.62028864,2567327.85733619,532
2020/05/21 00:00:00+00,2020,5,21,chokepoint1,Suez Canal,12,13,3,1,29,29,58,901215.125217633,660228.581399792,24959.3335564104,18442.2768677136,1558386.54484127,1604845.31704155,3163231.86188282,533
2020/05/22 00:00:00+00,2020,5,22,chokepoint1,Suez Canal,19,16,4,1,18,40,58,1615262.94778655,1050971.4979583,18117.2467369016,22291.0889411358,1115659.00452118,2706642.78142289,3822301.78594407,534
2020/05/23 00:00:00+00,2020,5,23,chokepoint1,Suez Canal,13,9,9,1,17,32,49,1706060.30354969,452435.694275822,57949.0483246903,12903.9743655912,1333738.83906274,2229349.0205158,3563087.85957853,535
2020/05/24 00:00:00+00,2020,5,24,chokepoint1,Suez Canal,12,14,6,1,26,33,59,811091.711816204,769345.836072207,83330.7433733814,16907.1908311984,1579072.17514012,1680675.48209299,3259747.65723312,536
2020/05/25 00:00:00+00,2020,5,25,chokepoint1,Suez Canal,14,5,4,3,18,26,44,1684448.03136738,501041.426806954,6221.46494195341,53541.016326089,1139498.9015168,2245251.93944238,3384750.84095918,537
2020/05/26 00:00:00+00,2020,5,26,chokepoint1,Suez Canal,12,9,8,1,18,30,48,1405164.5453889,515991.641228505,57569.4695443355,12555.5075898957,1183221.06529938,1991281.16375163,3174502.22905101,538
2020/05/27 00:00:00+00,2020,5,27,chokepoint1,Suez Canal,13,7,2,2,14,24,38,1369075.17743786,625800.558356108,30405.8157703981,38843.0888060669,766496.718495294,2064124.64037043,2830621.35886572,539
2020/05/28 00:00:00+00,2020,5,28,chokepoint1,Suez Canal,9,12,7,0,10,28,38,560188.333583123,633890.855645109,31409.4176879573,0,680839.844568302,1225488.60691619,1906328.45148449,540
2020/05/29 00:00:00+00,2020,5,29,chokepoint1,Suez Canal,15,18,7,0,13,40,53,1710488.78886669,1156520.42821057,101998.119285263,0,635735.404978639,2969007.33636253,3604742.74134117,541
2020/05/30 00:00:00+00,2020,5,30,chokepoint1,Suez Canal,14,7,4,2,17,27,44,1570951.41078986,347987.219210667,4466.48398658553,50448.5098657544,1166422.29948314,1973853.62385287,3140275.92333601,542
2020/05/31 00:00:00+00,2020,5,31,chokepoint1,Suez Canal,10,16,5,1,24,32,56,806288.862682128,843427.40325382,59119.9266038831,13332.9561668941,1152611.33486924,1722169.14870673,2874780.48357596,543
2020/06/01 00:00:00+00,2020,6,1,chokepoint1,Suez Canal,14,17,5,1,20,37,57,1719706.29722328,798808.254973145,33053.8419745985,9122.62688455474,1677758.06681214,2560691.02105558,4238449.08786772,544
2020/06/02 00:00:00+00,2020,6,2,chokepoint1,Suez Canal,16,10,6,1,21,33,54,1492950.7802797,564531.286008284,43497.1617558675,10128.4001351499,1259262.68492437,2111107.62817901,3370370.31310338,545
2020/06/03 00:00:00+00,2020,6,3,chokepoint1,Suez Canal,15,10,5,1,17,31,48,1339982.08716547,991665.885062106,19913.95559744,16592.3118719608,1118934.00581466,2368154.23969698,3487088.24551164,546
2020/06/04 00:00:00+00,2020,6,4,chokepoint1,Suez Canal,11,13,11,0,20,35,55,856853.031596276,862034.895700634,99480.8819133575,0,1129873.34131472,1818368.80921027,2948242.15052499,547
2020/06/05 00:00:00+00,2020,6,5,chokepoint1,Suez Canal,15,17,6,0,21,38,59,1275264.86029119,835292.502244088,32781.870030377,0,1353363.57943108,2143339.23256566,3496702.81199674,548
2020/06/06 00:00:00+00,2020,6,6,chokepoint1,Suez Canal,21,7,2,3,12,33,45,2268619.47802539,515727.160356859,44872.572100847,55340.1570891106,780200.126196301,2884559.3675722,3664759.4937685,549
2020/06/07 00:00:00+00,2020,6,7,chokepoint1,Suez Canal,9,15,2,2,14,28,42,890897.816846048,1273405.71161741,23091.15573777,37053.4518303331,636186.70340793,2224448.13603156,2860634.83943949,550
2020/06/08 00:00:00+00,2020,6,8,chokepoint1,Suez Canal,11,13,11,1,16,36,52,938724.700180474,722837.755772564,80275.3687080501,16095.3863672048,1142404.04523065,1757933.21102829,2900337.25625894,551
2020/06/09 00:00:00+00,2020,6,9,chokepoint1,Suez Canal,13,9,9,2,9,33,42,1445331.4246345,765950.897108049,68012.6421001632,29022.4970907903,581415.498185359,2308317.4609335,2889732.95911886,552
2020/06/10 00:00:00+00,2020,6,10,chokepoint1,Suez Canal,16,11,9,1,13,37,50,1556852.43586667,793307.396484138,55511.7998621398,21990.7977576104,477763.498338193,2427662.42997056,2905425.92830875,553
2020/06/11 00:00:00+00,2020,6,11,chokepoint1,Suez Canal,13,11,4,2,12,30,42,1411952.22354065,700564.732999518,13932.7380583995,20818.8828235748,420117.167415978,2147268.57742214,2567385.74483812,554
2020/06/12 00:00:00+00,2020,6,12,chokepoint1,Suez Canal,19,7,6,1,16,33,49,2264806.73477974,454958.151350455,47565.9926154042,9937.8021505318,599055.803740333,2777268.68089614,3376324.48463647,555
2020/06/13 00:00:00+00,2020,6,13,chokepoint1,Suez Canal,14,10,5,1,14,30,44,1507073.95364682,828310.656050067,42206.7076382142,16657.8492594341,1088126.48693194,2394249.16659454,3482375.65352648,556
2020/06/14 00:00:00+00,2020,6,14,chokepoint1,Suez Canal,8,9,4,1,11,22,33,672046.981827696,574688.525586287,17313.2508674161,17611.2601237847,894986.930450217,1281660.01840518,2176646.9488554,557
2020/06/15 00:00:00+00,2020,6,15,chokepoint1,Suez Canal,11,8,5,1,19,25,44,959466.199067215,437273.394809143,57538.2586448834,11749.7787539119,939442.707062524,1466027.63127515,2405470.33833768,558
2020/06/16 00:00:00+00,2020,6,16,chokepoint1,Suez Canal,15,8,3,3,16,29,45,1680472.45684125,323293.949419958,3605.04220530337,51797.6621877906,790512.11803727,2059169.11065431,2849681.22869158,559
2020/06/17 00:00:00+00,2020,6,17,chokepoint1,Suez Canal,12,12,7,1,17,32,49,1262726.59751866,613294.748909981,52057.1267113261,15467.7533307019,939324.68336886,1943546.22647067,2882870.90983953,560
2020/06/18 00:00:00+00,2020,6,18,chokepoint1,Suez Canal,11,10,6,3,10,30,40,1232572.09646126,756963.402708678,64740.5724753132,52610.5455734195,656120.158694683,2106886.61721867,2763006.77591335,561
2020/06/19 00:00:00+00,2020,6,19,chokepoint1,Suez Canal,19,10,0,0,19,29,48,1864815.14026278,433080.300822032,0,0,1183600.42336957,2297895.44108481,3481495.86445437,562
2020/06/20 00:00:00+00,2020,6,20,chokepoint1,Suez Canal,10,10,8,0,21,28,49,874475.159901172,566101.780608515,98609.6453166785,0,736372.681843096,1539186.58582637,2275559.26766946,563
2020/06/21 00:00:00+00,2020,6,21,chokepoint1,Suez Canal,15,10,2,3,10,30,40,1736216.74029589,650634.203714823,20521.7608585565,54274.929678966,886348.278764006,2461647.63454823,3347995.91331224,564
2020/06/22 00:00:00+00,2020,6,22,chokepoint1,Suez Canal,12,6,5,0,12,23,35,1211902.64446038,301594.716039613,18197.8964611173,0,706305.598362262,1531695.25696111,2238000.85532337,565
2020/06/23 00:00:00+00,2020,6,23,chokepoint1,Suez Canal,11,8,5,0,13,24,37,1361958.76167068,386742.085572207,48807.6829598938,0,622589.367770788,1797508.53020278,2420097.89797357,566
2020/06/24 00:00:00+00,2020,6,24,chokepoint1,Suez Canal,14,8,4,1,22,27,49,1689132.22422107,481074.821951398,25897.2442544024,17016.5947737498,1199458.35894572,2213120.88520062,3412579.24414634,567
2020/06/25 00:00:00+00,2020,6,25,chokepoint1,Suez Canal,12,9,11,3,12,35,47,1030822.70216076,568621.364471974,106710.003592139,53859.9973599092,854270.943805009,1760014.06758478,2614285.01138979,568
2020/06/26 00:00:00+00,2020,6,26,chokepoint1,Suez Canal,18,10,4,2,18,34,52,1635395.24475215,389672.086788097,44123.6996211276,36792.4190579432,863966.153816042,2105983.45021932,2969949.60403536,569
2020/06/27 00:00:00+00,2020,6,27,chokepoint1,Suez Canal,17,13,8,1,10,39,49,1769104.46094067,785362.579293553,76841.5980239093,21275.4771528755,543175.581164147,2652584.115411,3195759.69657515,570
2020/06/28 00:00:00+00,2020,6,28,chokepoint1,Suez Canal,12,14,5,4,16,35,51,1421969.14967048,806856.610355234,43020.97880362,72738.1610705851,877341.450116173,2344584.89989992,3221926.3500161,571
2020/06/29 00:00:00+00,2020,6,29,chokepoint1,Suez Canal,13,14,7,0,16,34,50,1351202.09697063,734939.300101072,63745.1982073583,0,1161664.71895487,2149886.59527906,3311551.31423392,572
2020/06/30 00:00:00+00,2020,6,30,chokepoint1,Suez Canal,10,9,9,2,19,30,49,1074556.32186574,378927.283173896,102348.742240898,38738.126936421,839663.817696247,1594570.47421696,2434234.29191321,573
2020/07/01 00:00:00+00,2020,7,1,chokepoint1,Suez Canal,18,14,10,1,16,43,59,1515922.08537744,762129.459309115,59197.5740312731,20504.8906412964,930855.56652529,2357754.00935912,3288609.57588441,574
2020/07/02 00:00:00+00,2020,7,2,chokepoint1,Suez Canal,15,12,8,3,15,38,53,1448562.05509239,673304.496652556,104292.353276126,33931.6381620322,798190.20558868,2260090.54318311,3058280.74877179,575
2020/07/03 00:00:00+00,2020,7,3,chokepoint1,Suez Canal,18,8,5,1,14,32,46,1958268.06340052,497378.388858137,33012.0730415124,9352.38769262326,1018190.06933543,2498010.91299279,3516200.98232822,576
2020/03/02 00:00:00+00,2020,3,2,chokepoint1,Suez Canal,12,19,5,2,23,38,61,1007295.230609,1008900.98894296,61478.124106946,32235.5877387617,1625356.73417868,2109909.93139767,3735266.66557635,577
2020/03/03 00:00:00+00,2020,3,3,chokepoint1,Suez Canal,16,12,8,3,11,39,50,1519693.85038786,879685.245317131,43271.9717201128,54112.9194389954,605148.186844222,2496763.9868641,3101912.17370832,578
2020/03/04 00:00:00+00,2020,3,4,chokepoint1,Suez Canal,17,12,3,3,16,35,51,1900117.1903264,684865.972460085,41890.0174224857,51214.5626413584,978646.946206279,2678087.74285033,3656734.68905661,579
2020/03/05 00:00:00+00,2020,3,5,chokepoint1,Suez Canal,16,7,3,2,8,28,36,1517015.75647849,475586.930994586,23046.2352318218,33184.399338592,483955.683200736,2048833.32204349,2532789.00524422,580
2020/03/06 00:00:00+00,2020,3,6,chokepoint1,Suez Canal,14,17,11,2,18,44,62,945707.500028825,1128506.92426058,72883.2991629274,35639.5631029681,1085368.56505401,2182737.2865553,3268105.8516093,581
2020/03/07 00:00:00+00,2020,3,7,chokepoint1,Suez Canal,18,16,2,1,16,37,53,1662474.37939061,963277.752964793,40292.5917031083,22480.0562008385,1369969.6117377,2688524.78025935,4058494.39199705,582
2020/03/08 00:00:00+00,2020,3,8,chokepoint1,Suez Canal,13,12,5,1,16,31,47,1171773.51157335,634483.695321015,17036.2625343457,16611.2000323898,1311329.26516905,1839904.66946111,3151233.93463016,583
2020/03/09 00:00:00+00,2020,3,9,chokepoint1,Suez Canal,9,17,5,1,21,32,53,832043.161669529,1078832.976168,59931.911976903,20519.3611267073,813182.913111164,1991327.41094114,2804510.3240523,584
2020/03/10 00:00:00+00,2020,3,10,chokepoint1,Suez Canal,13,20,5,2,21,40,61,1346918.90282987,1067716.93006432,29827.763812506,36017.76427754,1539098.04378673,2480481.36098424,4019579.40477097,585
2020/03/11 00:00:00+00,2020,3,11,chokepoint1,Suez Canal,15,7,3,2,16,27,43,1574572.51365237,663602.869601221,10269.1293710114,32849.6011164369,1319855.10138504,2281294.11374104,3601149.21512608,586
2020/03/12 00:00:00+00,2020,3,12,chokepoint1,Suez Canal,11,12,5,2,13,30,43,1069025.72185777,838707.173309876,30294.315415331,36515.3383335635,562702.231325053,1974542.54891654,2537244.78024159,587
2020/03/13 00:00:00+00,2020,3,13,chokepoint1,Suez Canal,14,23,7,2,17,46,63,1227039.83499084,1131622.79596232,50634.652266739,34875.2274802893,943548.830621595,2444172.51070018,3387721.34132178,588
