date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2019/02/01 00:00:00+00,2019,2,1,chokepoint2,Panama Canal,13,9,2,3,15,27,42,920652.777479429,550895.703023483,44957.7640941434,51869.5286163522,619287.376207988,1568375.77321341,2187663.1494214,21910
2019/02/02 00:00:00+00,2019,2,2,chokepoint2,Panama Canal,9,8,1,1,8,19,27,607992.633229061,523649.005952844,10447.2808988764,18933.2244897959,399905.198588235,1161022.14457058,1560927.34315881,21911
2019/02/03 00:00:00+00,2019,2,3,chokepoint2,Panama Canal,6,7,1,4,17,18,35,261402.891768008,415783.199779122,15606.5094339623,76137.2125636672,623781.23521486,768929.81354476,1392711.04875962,21912
2019/02/04 00:00:00+00,2019,2,4,chokepoint2,Panama Canal,8,8,2,2,17,20,37,520668.29875981,280710.295060653,33305.7923119469,42194.7612327189,632611.103800541,876879.147365128,1509490.25116567,21913
2019/02/05 00:00:00+00,2019,2,5,chokepoint2,Panama Canal,8,10,3,2,12,23,35,521799.423588283,401599.707426368,92056.361358373,34565.7390417941,486143.74119976,1050021.23141482,1536164.97261458,21914
2019/02/06 00:00:00+00,2019,2,6,chokepoint2,Panama Canal,12,6,1,2,11,21,32,581947.275397449,270271.595516703,16613.6391752577,32372.9445564516,501857.113595906,901205.454645861,1403062.56824177,21915
2019/02/07 00:00:00+00,2019,2,7,chokepoint2,Panama Canal,11,9,1,3,15,24,39,802597.697604485,387897.445242362,30892.8454545455,49798.2873680627,683538.561461117,1271186.27566946,1954724.83713057,21916
2019/02/08 00:00:00+00,2019,2,8,chokepoint2,Panama Canal,11,11,1,1,15,24,39,757285.835505139,545945.152940635,38396.4,19438.6391752577,655748.649655288,1361066.02762103,2016814.67727632,21917
2019/02/09 00:00:00+00,2019,2,9,chokepoint2,Panama Canal,7,9,2,1,17,19,36,461604.608066708,376864.021627451,58888.8923053847,14897.9680851064,609369.901198483,912255.49008465,1521625.39128313,21918
2019/02/10 00:00:00+00,2019,2,10,chokepoint2,Panama Canal,7,10,1,2,11,20,31,337752.713944978,488017.747238123,31453.2654867257,46103.3964174455,509929.830331174,903327.123087273,1413256.95341845,21919
2019/02/11 00:00:00+00,2019,2,11,chokepoint2,Panama Canal,6,3,1,6,8,16,24,294163.397878871,156751.511636637,4219.57894736842,108458.953173349,222812.711758498,563593.441636225,786406.153394723,21920
2019/02/12 00:00:00+00,2019,2,12,chokepoint2,Panama Canal,10,7,5,4,8,26,34,806689.906694793,356830.337386407,82399.7414241287,92622.9343215041,320054.810500196,1338542.91982683,1658597.73032703,21921
2019/02/13 00:00:00+00,2019,2,13,chokepoint2,Panama Canal,11,8,1,2,9,22,31,380565.131745074,326301.716219117,14947.2772277228,39666.2140731292,320117.285967208,761480.339265043,1081597.62523225,21922
2019/02/14 00:00:00+00,2019,2,14,chokepoint2,Panama Canal,9,9,3,2,12,23,35,644081.985882926,427101.822780544,24024.6900315304,36728.2082474227,401510.215233854,1131936.70694242,1533446.92217628,21923
2019/02/15 00:00:00+00,2019,2,15,chokepoint2,Panama Canal,10,9,3,2,11,24,35,870568.206694245,425291.493951858,66679.6627566842,34618.2794117647,399375.053217185,1397157.64281455,1796532.69603174,21924
2019/02/16 00:00:00+00,2019,2,16,chokepoint2,Panama Canal,10,10,2,3,13,25,38,577016.568798695,458721.047268359,41438.0210884354,57749.5948320004,407304.648259303,1134925.23198749,1542229.88024679,21925
2019/02/17 00:00:00+00,2019,2,17,chokepoint2,Panama Canal,7,7,3,3,11,20,31,384008.528014138,317003.912594137,70074.5040748508,51579.3901689708,437810.29087018,822666.334852096,1260476.62572228,21926
2019/07/13 00:00:00+00,2019,7,13,chokepoint2,Panama Canal,9,8,1,2,11,20,31,591426.081415667,332423.766526525,25581.4,44514.88392501,394930.491883922,993946.131867202,1388876.62375112,21931
2019/07/14 00:00:00+00,2019,7,14,chokepoint2,Panama Canal,9,13,1,3,11,26,37,393927.137952907,605126.582642969,29139.4392523365,54260.3686092994,435307.671912645,1082453.52845751,1517761.20037016,21934
2019/07/15 00:00:00+00,2019,7,15,chokepoint2,Panama Canal,5,10,1,2,15,18,33,399166.812957655,483825.327097455,5260.5,42533.3154003741,803898.388452346,930785.955455484,1734684.34390783,21937
2019/07/16 00:00:00+00,2019,7,16,chokepoint2,Panama Canal,7,9,2,2,10,20,30,290779.533708018,439418.46540896,40762.4827586207,48534.9125214408,385115.553686939,819495.39439704,1204610.94808398,21939
2019/07/17 00:00:00+00,2019,7,17,chokepoint2,Panama Canal,11,6,3,2,16,22,38,670571.931093255,302951.475396606,38467.1447293447,34903.5623545062,473762.054071426,1046894.11357371,1520656.16764514,21941
2020/07/02 00:00:00+00,2020,7,2,chokepoint2,Panama Canal,8,4,2,2,16,16,32,511196.94244832,130985.585124825,65109.6150380175,54695.3793103448,653126.128391191,761987.521921507,1415113.6503127,22001
2019/10/26 00:00:00+00,2019,10,26,chokepoint2,Panama Canal,8,12,1,2,14,23,37,427499.170752624,579448.537579178,4776.15189873418,59595.8337153043,631172.481552666,1071319.69394584,1702492.17549851,22002
2020/07/03 00:00:00+00,2020,7,3,chokepoint2,Panama Canal,10,6,3,0,15,19,34,705060.60125069,238330.463294374,72659.6309470073,0,512064.820519518,1016050.69549207,1528115.51601159,22003
2019/09/06 00:00:00+00,2019,9,6,chokepoint2,Panama Canal,15,11,1,1,8,28,36,840684.563370865,580816.012368337,3506.92307692308,19971.2641509434,239194.29875302,1444978.76296707,1684173.06172009,22004
2019/10/27 00:00:00+00,2019,10,27,chokepoint2,Panama Canal,11,9,2,1,13,23,36,523456.460875951,549003.42353671,25642.5808823529,22045.871559633,461884.388491312,1120148.33685465,1582032.72534596,22005
2020/07/04 00:00:00+00,2020,7,4,chokepoint2,Panama Canal,9,4,3,2,16,18,34,606413.250446025,173065.049019608,42260.4155223273,45978.0928665044,594839.963824848,867716.807854464,1462556.77167931,22006
2019/09/07 00:00:00+00,2019,9,7,chokepoint2,Panama Canal,8,9,5,3,15,25,40,413487.080019076,450350.269774341,78727.9102747971,57031.0026515151,516598.528731521,999596.262719729,1516194.79145125,22007
2019/10/28 00:00:00+00,2019,10,28,chokepoint2,Panama Canal,9,8,3,4,16,24,40,520977.798760022,353256.898055256,52612.1059814485,72849.6445175439,541044.6081897,999696.44731427,1540741.05550397,22008
2020/07/05 00:00:00+00,2020,7,5,chokepoint2,Panama Canal,10,7,1,0,9,18,27,667320.306020876,288505.785609313,9390.24390243903,0,387313.331854519,965216.335532627,1352529.66738715,22009
2019/09/08 00:00:00+00,2019,9,8,chokepoint2,Panama Canal,9,7,1,3,14,20,34,606545.492231945,283274.878524078,37172.4137931034,55774.7160629477,540370.012858251,982767.500612074,1523137.51347033,22010
2019/10/29 00:00:00+00,2019,10,29,chokepoint2,Panama Canal,4,9,3,5,11,21,32,309581.115195246,434305.711966614,67999.9945642408,104346.780007527,511635.090615756,916233.601733627,1427868.69234938,22011
2019/07/18 00:00:00+00,2019,7,18,chokepoint2,Panama Canal,12,2,2,3,11,19,30,601529.542187423,49654.5068043942,41537.484,82834.7276827189,487172.805297884,775556.260674536,1262729.06597242,22012
2020/07/06 00:00:00+00,2020,7,6,chokepoint2,Panama Canal,10,5,0,1,14,16,30,718032.40890801,222515.369047018,0,11477.0243902439,585459.239815618,952024.802345273,1537484.04216089,22013
2019/09/09 00:00:00+00,2019,9,9,chokepoint2,Panama Canal,8,9,2,1,12,20,32,552064.179133855,416128.64156671,40114.77868261,18542.125,470393.317027149,1026849.72438318,1497243.04141032,22014
2019/10/30 00:00:00+00,2019,10,30,chokepoint2,Panama Canal,11,10,4,1,16,26,42,402560.933900539,493688.945290693,73753.2990456562,19127.4255319149,906483.749684796,989130.603768803,1895614.3534536,22015
2019/07/19 00:00:00+00,2019,7,19,chokepoint2,Panama Canal,12,10,1,1,11,24,35,794764.069197409,409080.92928283,16788.75,34482.6086956522,353464.91709479,1255116.35717589,1608581.27427068,22016
2020/07/07 00:00:00+00,2020,7,7,chokepoint2,Panama Canal,5,6,2,4,17,17,34,359798.380806263,307105.797618793,40122.2461538462,71621.5478002727,635047.462963751,778647.972379174,1413695.43534293,22017
2019/09/10 00:00:00+00,2019,9,10,chokepoint2,Panama Canal,7,12,3,0,13,22,35,211152.247937911,593043.2543857,57834.5844671016,0,643070.4338297,862030.086790712,1505100.52062041,22018
2019/10/31 00:00:00+00,2019,10,31,chokepoint2,Panama Canal,9,8,2,1,19,20,39,572723.579357952,357345.821784308,35136.2966764418,19304.7422680412,805093.023405471,984510.440086743,1789603.46349221,22019
2019/07/20 00:00:00+00,2019,7,20,chokepoint2,Panama Canal,9,9,3,1,15,22,37,580103.143201065,375974.960852182,92413.1179511278,16517.4166666667,666198.815545527,1065008.63867104,1731207.45421657,22020
2020/07/08 00:00:00+00,2020,7,8,chokepoint2,Panama Canal,13,4,2,1,15,20,35,807334.013136073,198707.050829869,42558.8149321267,18338.74,538075.205347264,1066938.61889807,1605013.82424533,22021
2019/09/11 00:00:00+00,2019,9,11,chokepoint2,Panama Canal,10,10,1,3,17,24,41,507468.108853307,522980.599462642,11969.7108433735,69384.0280217786,689222.066997615,1111802.4471811,1801024.51417872,22022
2019/11/01 00:00:00+00,2019,11,1,chokepoint2,Panama Canal,18,10,2,0,10,30,40,1119774.92699871,730296.539989831,18701.9505016722,0,292066.816949874,1868773.41749021,2160840.23444008,22023
2019/07/21 00:00:00+00,2019,7,21,chokepoint2,Panama Canal,9,6,1,4,13,20,33,445019.121400694,216826.902398954,14498.652173913,76824.0739477726,539954.182519208,753168.749921334,1293122.93244054,22024
2020/07/09 00:00:00+00,2020,7,9,chokepoint2,Panama Canal,5,11,2,1,8,19,27,331324.482571175,466629.371094609,45015.0410804149,19460.2772277228,283771.682861415,862429.171973921,1146200.85483534,22025
2019/09/12 00:00:00+00,2019,9,12,chokepoint2,Panama Canal,8,8,3,2,18,21,39,467184.019253503,392752.043764127,43100.554953024,32679.3569739953,612779.124211381,935715.974944649,1548495.09915603,22026
2019/11/02 00:00:00+00,2019,11,2,chokepoint2,Panama Canal,9,10,4,1,15,24,39,511523.942827724,463970.115911115,75864.4991273003,17246.25,639639.744439052,1068604.80786614,1708244.55230519,22027
2019/07/22 00:00:00+00,2019,7,22,chokepoint2,Panama Canal,10,7,1,4,13,22,35,574027.746340264,339412.992472227,24266,78603.531952221,576460.743166879,1016310.27076471,1592771.01393159,22028
2020/07/10 00:00:00+00,2020,7,10,chokepoint2,Panama Canal,11,4,1,2,12,18,30,778761.68942082,167756.431945004,14385.5660377358,37449.1785062001,460410.79852491,998352.865909759,1458763.66443467,22029
2019/09/13 00:00:00+00,2019,9,13,chokepoint2,Panama Canal,12,11,0,1,11,24,35,896611.734016033,476526.972546702,0,19042.404040404,440797.951174679,1392181.11060314,1832979.06177782,22030
2019/11/03 00:00:00+00,2019,11,3,chokepoint2,Panama Canal,6,8,2,3,17,19,36,376471.814108932,379943.192406902,12391.9512195122,51275.4160269612,905554.396579562,820082.373762307,1725636.77034187,22031
