date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2019/01/09 00:00:00+00,2019,1,9,chokepoint6,Strait of Hormuz,11,12,4,2,41,29,70,357630.930727169,429532.048588497,10275.0376841849,0,3168316.79869115,797438.016999851,3965754.815691,47367
2019/01/10 00:00:00+00,2019,1,10,chokepoint6,Strait of Hormuz,14,12,5,5,49,36,85,418731.847413589,425674.440395423,25189.9403904176,21242.1081790808,1168646.75336849,890838.33637851,2059485.089747,47368
2019/05/02 00:00:00+00,2019,5,2,chokepoint6,Strait of Hormuz,12,17,7,2,71,38,109,470885.836164883,443702.742587506,11594.8811135791,9027.54948659943,2865915.17072179,935211.009352568,3801126.18007436,47370
2019/01/26 00:00:00+00,2019,1,26,chokepoint6,Strait of Hormuz,15,18,3,3,58,39,97,468562.078421504,574383.616422738,23829.9998398874,4009.85244219915,2731182.54189629,1070785.54712633,3801968.08902261,47371
2019/06/26 00:00:00+00,2019,6,26,chokepoint6,Strait of Hormuz,14,14,7,2,58,37,95,556814.291666504,465976.884166764,46542.4461646983,3070.9281752283,3181305.74145102,1072404.55017319,4253710.29162421,47372
2019/05/03 00:00:00+00,2019,5,3,chokepoint6,Strait of Hormuz,17,24,8,1,53,50,103,701411.350642491,885155.871541075,67672.7403369443,0,3354916.22857098,1654239.96252051,5009156.19109149,47374
2019/08/10 00:00:00+00,2019,8,10,chokepoint6,Strait of Hormuz,10,18,2,1,62,31,93,386446.527693108,504153.197171263,1867.33892642851,0,3654101.95228557,892467.0637908,4546569.01607637,47375
2019/05/04 00:00:00+00,2019,5,4,chokepoint6,Strait of Hormuz,15,13,4,1,48,33,81,646570.654524777,469351.771679301,45750.912379754,0,4019159.74611964,1161673.33858383,5180833.08470348,47376
2019/08/11 00:00:00+00,2019,8,11,chokepoint6,Strait of Hormuz,14,17,6,1,47,38,85,576883.442902027,364143.358282501,17247.6826191128,0,2433761.42967741,958274.48380364,3392035.91348105,47377
2019/01/27 00:00:00+00,2019,1,27,chokepoint6,Strait of Hormuz,11,13,1,0,61,25,86,358382.241085041,515906.403269002,0,0,3349036.28376576,874288.644354043,4223324.92811981,47378
2019/05/05 00:00:00+00,2019,5,5,chokepoint6,Strait of Hormuz,12,16,2,1,46,31,77,412274.481464943,613522.40676079,7456.04835954913,0,2448047.92952722,1033252.93658528,3481300.86611251,47380
2019/06/27 00:00:00+00,2019,6,27,chokepoint6,Strait of Hormuz,12,16,1,1,46,30,76,339327.193399142,417493.115495767,740.14147909944,0,1991556.04948506,757560.450374008,2749116.49985907,47381
2019/08/12 00:00:00+00,2019,8,12,chokepoint6,Strait of Hormuz,15,16,2,1,43,34,77,379755.931943844,886079.458022953,3339.0593160963,0,2001485.18096679,1269174.44928289,3270659.63024969,47382
