Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
30-JUN-2025,23672.35,23677.55,23563,23617.2,2461348827,90104.23
01-JUL-2025,23659.75,23669.95,23558.9,23615.45,2565390058,83693.8
02-JUL-2025,23653.05,23669.3,23463.85,23547.25,2620390772,81637.23
03-JUL-2025,23591.8,23647.1,23503.55,23521.85,2357618494,76882.5
04-JUL-2025,23553.45,23570.9,23448.9,23562.45,1879048138,70306.02
07-JUL-2025,23561.6,23595.3,23506.5,23551.2,2422513949,57859.16
08-JUL-2025,23540.6,23600.35,23469.95,23572.55,2930217619,72719.4
09-JUL-2025,23576.45,23613.9,23513.85,23557.45,2348736612,74180.3
10-JUL-2025,23595.85,23605.5,23444.95,23471.4,2022308976,67281.5
11-JUL-2025,23408.8,23462.35,23256.3,23282.7,2231874802,77835.88
14-JUL-2025,23290.15,23329.2,23200.1,23309.05,3997772876,80060.37
15-JUL-2025,23334.55,23469.45,23332.8,23449.15,2709069677,76469.04
16-JUL-2025,23458.9,23502.9,23403.5,23472.5,2858894576,73895.98
17-JUL-2025,23507.65,23514.7,23409.05,23419.7,2195098616,74135.99
18-JUL-2025,23430,23449.45,23240.85,23275.15,1971061232,72305.23
21-JUL-2025,23296.75,23394.5,23184.9,23378.45,1759544320,68107.89
22-JUL-2025,23449.75,23456,23306.4,23320.9,2031812918,80149.39
23-JUL-2025,23382.4,23435.55,23296,23428.4,1995956007,73252.1
24-JUL-2025,23447.35,23449.4,23257.6,23301.1,1969073067,77473.28
25-JUL-2025,23255.25,23255.25,22993,23014.8,2195825744,75633.55
28-JUL-2025,22967.4,23094.85,22818.15,22846.95,2026364448,70338.58
29-JUL-2025,22793,23024.15,22777.7,23007.35,1735802515,73558.17
30-JUL-2025,23064.25,23070.35,22959.45,23033.55,1697161959,68131.28
31-JUL-2025,22804.2,23071.25,22802.15,22914.95,2214101532,87341.83
01-AUG-2025,22901.6,22917.85,22646.75,22673.65,2220917486,76532.28
04-AUG-2025,22699.7,22871.6,22648.6,22860.4,1895803473,67253.57
05-AUG-2025,22869.5,22878.1,22736.05,22798.5,1735090858,70925.06
06-AUG-2025,22807.55,22818.2,22622.35,22666.85,1576344145,69247.01
07-AUG-2025,22563.4,22726.9,22425.85,22694.1,2051703407,79884.39
08-AUG-2025,22680.9,22690.35,22419.7,22443.15,1706464753,81985.79
11-AUG-2025,22447.55,22650.1,22406,22633.45,1538568678,64340.74
12-AUG-2025,22633.65,22730.25,22554.3,22568.6,1512961043,61616.81
13-AUG-2025,22655.15,22733.8,22624.45,22698.1,2094136243,68829.66
14-AUG-2025,22713.65,22754.15,22646.7,22680.25,2056948849,65640.61
18-AUG-2025,22958.3,23040.85,22913.05,22931.5,2389678600,87578.2
19-AUG-2025,22959.5,23077.1,22908.15,23066.6,2325042242,67565.6
20-AUG-2025,23067.7,23171.15,23025.85,23143.15,2925327540,74477.32
21-AUG-2025,23221.75,23230.95,23126.75,23137.15,2342917634,77424.18
22-AUG-2025,23133.85,23144.55,22980.85,22991.3,3223528373,61311.1
25-AUG-2025,23069.3,23106.9,23022.1,23052,2745502008,62192.41
26-AUG-2025,22994.85,23013.05,22746.75,22768.65,4447916261,124368.44
28-AUG-2025,22762.25,22762.25,22529.6,22541.65,2918941120,87203.22
29-AUG-2025,22524.15,22624.7,22443.8,22462.95,2876456343,74820.72
01-SEP-2025,22491.9,22720.55,22491.9,22713.55,2711533790,65828.19
02-SEP-2025,22758.2,22858.2,22678.45,22724.4,2719306900,68531.75
03-SEP-2025,22764,22877.35,22709.2,22864.65,3099428223,72038.77
04-SEP-2025,23116.9,23116.9,22795,22819.65,3011809920,81710.49
05-SEP-2025,22891.75,22916,22718.5,22829.15,3447324689,61225.59
08-SEP-2025,22892.8,22974.85,22835.9,22878.65,2299628386,59253.2
09-SEP-2025,22949.55,22964.05,22893.05,22949.1,2010928320,56901.71
10-SEP-2025,23056.8,23121.75,23027.05,23074.15,2367614060,69349.81
11-SEP-2025,23073.45,23128.55,23065.7,23102.65,2145968911,74196.51
12-SEP-2025,23171.55,23210.4,23129.9,23190.25,2596050320,70672.84
15-SEP-2025,23213.15,23249.2,23182.05,23215.85,3309950844,62955.58
16-SEP-2025,23240.25,23386.65,23217.3,23369.3,2372002424,69438.26
17-SEP-2025,23419.1,23464.4,23395.75,23445.2,2265541425,74653.76
18-SEP-2025,23534.15,23538.9,23434.45,23518.9,2122913596,74945.21
19-SEP-2025,23530.6,23541.3,23451.6,23486.65,4927091950,112953.61
