date,open,high,low,close,volume
2020-09-28,9237.75,9338.2,9213.6,9336.9,0
2020-09-29,9385.75,9401.4,9286.35,9319.2,0
2020-09-30,9344.3,9375.6,9292.5,9326.3,0
2020-10-01,9433.7,9471.4,9428.8,9465.4,0
2020-10-05,9518.2,9566.95,9476.8,9521.3,0
2020-10-06,9592.65,9632.65,9564.25,9621.1,0
2020-10-07,9637.15,9673.0,9594.75,9660.5,0
2020-10-08,9724.55,9759.2,9675.35,9711.05,0
2020-10-09,9728.75,9774.0,9691.7,9762.55,0
2020-10-12,9793.35,9822.1,9698.9,9747.95,0
2020-10-13,9745.9,9784.55,9716.5,9730.85,0
2020-10-14,9726.45,9780.75,9657.65,9760.0,0
2020-10-15,9801.55,9801.55,9536.1,9543.8,0
2020-10-16,9588.8,9634.0,9536.8,9632.25,0
2020-10-19,9710.95,9717.05,9664.75,9713.75,0
2020-10-20,9699.3,9759.75,9684.35,9734.35,0
2020-10-21,9780.5,9821.45,9635.6,9753.7,0
2020-10-22,9726.45,9763.5,9684.25,9751.1,0
2020-10-23,9794.4,9806.9,9764.7,9777.55,0
2020-10-26,9794.95,9794.95,9609.3,9650.5,0
2020-10-27,9674.15,9755.9,9607.7,9747.0,0
2020-10-28,9773.85,9782.9,9603.1,9629.75,0
2020-10-29,9557.15,9637.7,9531.0,9592.25,0
2020-10-30,9605.1,9664.7,9501.05,9583.5,0
2020-11-02,9622.7,9634.15,9524.55,9583.45,0
2020-11-03,9648.65,9715.3,9648.65,9691.05,0
2020-11-04,9684.1,9777.85,9654.7,9754.25,0
2020-11-05,9874.35,9941.3,9857.45,9938.95,0
2020-11-06,9965.05,10044.5,9952.9,10028.6,0
2020-11-09,10137.3,10183.25,10100.7,10181.0,0
2020-11-10,10252.8,10276.6,10181.85,10274.8,0
2020-11-11,10308.5,10377.5,10233.75,10362.9,0
2020-11-12,10334.75,10367.8,10294.65,10344.85,0
2020-11-13,10324.1,10393.9,10293.6,10388.3,0
2020-11-14,10470.9,10476.05,10416.5,10429.65,0
2020-11-17,10543.25,10543.25,10459.95,10525.95,0
2020-11-18,10516.75,10594.8,10491.8,10588.6,0
2020-11-19,10522.9,10632.95,10454.2,10470.4,0
2020-11-20,10514.85,10582.85,10457.05,10553.7,0
2020-11-23,10642.85,10660.65,10567.65,10633.7,0
2020-11-24,10698.3,10747.4,10687.5,10747.3,0
2020-11-25,10794.4,10803.05,10556.65,10573.55,0
2020-11-26,10611.05,10694.45,10532.25,10692.9,0
2020-11-27,10703.25,10750.75,10670.95,10696.8,0
2020-12-01,10803.25,10850.0,10734.7,10828.25,0
2020-12-02,10856.25,10865.8,10756.1,10851.25,0
2020-12-03,10936.75,10936.75,10872.05,10896.8,0
2020-12-04,10934.65,10988.8,10889.0,10984.65,0
2020-12-07,10994.15,11078.0,10984.8,11069.1,0
2020-12-08,11112.6,11136.2,11008.7,11087.3,0
2020-12-09,11147.55,11201.5,11146.05,11185.15,0
2020-12-10,11156.9,11156.9,11060.4,11144.0,0
2020-12-11,11172.65,11221.6,11082.2,11165.45,0
2020-12-14,11223.3,11239.7,11158.0,11212.85,0
2020-12-15,11212.35,11233.9,11128.7,11222.0,0
2020-12-16,11299.2,11328.0,11265.95,11311.95,0
2020-12-17,11347.1,11385.45,11324.4,11343.35,0
2020-12-18,11368.7,11376.1,11263.5,11341.0,0
2020-12-21,11338.4,11365.2,10789.5,10929.1,0
2020-12-22,10979.85,11097.15,10792.5,11077.3,0
2020-12-23,11092.4,11239.05,11062.9,11231.35,0
2020-12-24,11292.05,11342.1,11246.1,11320.0,0
2020-12-28,11387.45,11442.55,11387.45,11439.7,0
2020-12-29,11475.25,11505.85,11405.95,11462.6,0
2020-12-30,11507.05,11520.7,11414.6,11505.0,0
2020-12-31,11508.55,11548.0,11486.4,11507.5,0
2021-01-01,11535.85,11594.85,11535.35,11572.65,0
2021-01-04,11651.5,11702.9,11543.75,11698.8,0
2021-01-05,11647.6,11780.4,11614.3,11767.65,0
2021-01-06,11806.75,11816.55,11640.5,11730.2,0
2021-01-07,11833.6,11833.6,11754.45,11772.8,0
2021-01-08,11865.5,11940.25,11843.35,11922.05,0
2021-01-11,12024.65,12024.65,11922.1,12003.75,0
2021-01-12,12000.8,12083.25,11971.15,12064.55,0
2021-01-13,12123.0,12132.95,11925.85,12035.2,0
2021-01-14,12043.4,12081.1,11976.8,12070.65,0
2021-01-15,12078.6,12100.05,11864.55,11931.75,0
2021-01-18,11943.65,11945.65,11735.2,11736.6,0
2021-01-19,11851.15,11993.05,11851.15,11987.1,0
2021-01-20,12002.1,12091.9,11987.6,12065.5,0
2021-01-21,12154.7,12167.8,11960.85,12048.45,0
